,patch_size,s,n_components,nor,remove_components,k_min,k_max,k,kurt,bpd,bpd_field,H_receptive,H_signal,H_signal_white,H_neighbor,H_signal_sparse,H_signal_gauss,H_joint,H_cond,CE_gaussian,var_diff,var_sum,local_var,total_var,H_output,KL,d_ruzsa_add,d_ruzsa,d_ruzsa_,negH_diff,negH_diff_avg,negH_sum,H_max,lhd,4mean,class
5,22.0,2.0,67.0,2.0,0.0,0.0,0.0,0.0,4.4730797,14.5389185,12.622565,659.9167,168.22212,95.06888,95.06888,94.09975,94.60131,-1.0,-1.0,103.25232,1.2430075,0.12799954,0.8580431,8.57597,-35.674862,8.183437,-1.0,0.0,0.0,0.19674617,0.0029331672,0.022568556,1.8734267,0.4835353,0.749463,5
6,24.0,2.0,73.0,2.0,0.0,0.0,0.0,0.0,3.6398783,14.1614895,12.718122,815.89734,186.1449,103.58251,103.58251,102.7773,103.18744,-1.0,-1.0,111.91829,1.2271489,0.16423275,0.8249431,11.988991,-18.37026,8.335776,-1.0,0.0,0.0,0.17747696,0.0024314388,0.023373269,1.8911014,0.4745352,0.727893,5
7,26.0,2.0,79.0,2.0,0.0,0.0,0.0,0.0,3.1671197,13.799405,12.809233,992.0748,203.72745,112.096146,112.096146,111.520065,111.83202,-1.0,-1.0,120.82881,1.2199547,0.22852106,0.76479155,18.053164,7.06484,8.732668,-1.0,0.0,0.0,0.15005116,0.0018990289,0.02693508,1.9081273,0.46888897,0.694835,5
8,28.0,2.0,83.0,2.0,0.0,0.0,0.0,0.0,2.2658286,13.466514,12.894748,1193.7692,217.07732,117.7719,117.7719,117.42949,117.67038,-1.0,-1.0,129.95366,1.2924956,0.35603547,0.64151794,29.550943,47.480713,12.181761,-1.0,0.0,0.0,0.09595254,0.0011554618,0.027134696,1.9264934,0.4655017,0.640218,5
9,30.0,2.0,86.0,2.0,0.0,0.0,0.0,0.0,0.92452663,13.207539,12.974198,1405.4391,227.94218,122.02872,122.02872,121.9214,122.11015,-1.0,-1.0,128.20468,1.142928,0.6254086,0.37648416,53.785137,97.49662,6.1759677,-1.0,0.0,0.0,0.024048349,0.00028130968,0.022502083,1.9394715,0.46422204,0.590837,5
0,12.0,2.0,42.0,2.0,0.0,0.0,0.0,0.0,5.619921,16.081722,12.401489,187.53905,88.3131,59.595417,59.595417,58.468826,59.240818,-1.0,-1.0,67.608376,1.378228,0.058138773,0.9249757,2.4418285,-70.22247,8.012958,-1.0,0.0,0.0,0.12365758,0.0029443037,0.030040722,1.8530567,0.621794,0.859895,6
1,14.0,2.0,55.0,2.0,0.0,0.0,0.0,0.0,5.8245654,16.35764,12.282598,257.4415,116.77491,78.04162,78.04162,76.58634,77.50382,-1.0,-1.0,90.21747,1.4389088,0.056870423,0.92357326,3.1278732,-89.46393,12.175849,-1.0,0.0,0.0,0.18222141,0.0033126557,0.030636061,1.8567642,0.6150723,0.859256,6
2,16.0,2.0,67.0,2.0,0.0,0.0,0.0,0.0,4.1437774,16.311161,12.284291,342.86533,144.41946,95.06888,95.06888,93.57297,94.365036,-1.0,-1.0,110.270645,1.4496279,0.059430677,0.91955894,3.9818554,-101.626945,15.201763,-1.0,0.0,0.0,0.16273,0.002429504,0.04079302,1.8653778,0.62261194,0.862281,6
3,18.0,2.0,77.0,2.0,0.0,0.0,0.0,0.0,5.2963505,15.985868,12.336308,462.5535,169.55031,109.25827,109.25827,107.53666,108.45007,-1.0,-1.0,124.40143,1.3888588,0.071946554,0.9070619,5.5398846,-102.43754,15.143161,-1.0,0.0,0.0,0.24939676,0.0032398384,0.03209687,1.8948166,0.6307781,0.850329,6
4,20.0,2.0,87.0,2.0,0.0,0.0,0.0,0.0,4.433431,15.553175,12.409556,600.9788,195.15813,123.447655,123.447655,121.86939,122.613464,-1.0,-1.0,139.86766,1.372806,0.08463257,0.8961902,7.3630333,-95.11667,16.420008,-1.0,0.0,0.0,0.23156425,0.002662137,0.034903374,1.9197541,0.6385196,0.853688,6
5,22.0,2.0,95.0,2.0,0.0,0.0,0.0,0.0,4.285949,15.003721,12.489451,767.93054,217.60168,134.79916,134.79916,133.36995,134.0216,-1.0,-1.0,151.30794,1.3428346,0.10655776,0.877073,10.122987,-77.53672,16.508778,-1.0,0.0,0.0,0.24856734,0.0026156502,0.03375972,1.9478164,0.6470272,0.859658,6
6,24.0,2.0,102.0,2.0,0.0,0.0,0.0,0.0,3.4026287,14.437241,12.569693,960.9563,238.12003,144.73174,144.73174,143.52864,144.07202,-1.0,-1.0,161.55235,1.3252182,0.13843714,0.8486268,14.120588,-53.455784,16.820623,-1.0,0.0,0.0,0.21906511,0.0021471905,0.038722284,1.9750475,0.6469525,0.861277,6
7,26.0,2.0,107.0,2.0,0.0,0.0,0.0,0.0,2.6279354,13.89144,12.647453,1182.2162,254.55176,151.82642,151.82642,151.01462,151.40836,-1.0,-1.0,167.7553,1.2934664,0.19231702,0.799868,20.57792,-16.929695,15.928872,-1.0,0.0,0.0,0.17327216,0.0016179719,0.03192054,2.0018854,0.64496344,0.861141,6
8,28.0,2.0,111.0,2.0,0.0,0.0,0.0,0.0,1.7197422,13.427142,12.721336,1417.7324,268.43124,157.50218,157.50218,157.12947,157.33774,-1.0,-1.0,176.49161,1.3384725,0.29015476,0.70688206,32.207176,34.494534,18.989431,-1.0,0.0,0.0,0.08781867,0.00079206476,0.032330006,2.0217159,0.6390464,0.851768,6
9,30.0,2.0,113.0,2.0,0.0,0.0,0.0,0.0,0.85221714,13.072136,12.791193,1669.3259,277.8662,160.34006,160.34006,160.41553,160.4361,-1.0,-1.0,176.01367,1.2747856,0.554469,0.44723028,62.654995,118.06601,15.673617,-1.0,0.0,0.0,0.02733173,0.00024361956,0.019819995,2.0372074,0.6316743,0.803556,6
0,12.0,2.0,31.0,2.0,0.0,0.0,0.0,0.0,3.739232,15.458287,12.502093,170.29488,71.255844,43.987095,43.987095,43.343998,43.740047,-1.0,-1.0,47.430855,1.2194592,0.06990967,0.9141517,2.1671999,-40.63635,3.4437602,-1.0,0.0,0.0,0.059746798,0.001928344,0.017551357,1.8131397,0.45488983,0.684655,7
